                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.64276,                 1.3285,                0.12218,                0.84792,                0.91219,                0.81857,                0.70519,                 0.7879,                0.62266,                0.81857,                0.70519,                 0.7879,                 0.5074,                0.70545,                 1.5952,                0.06291,                 1.1466,                0.92728,              0.0005075,              0.0005075,              0.0005075
                     32,                 0.6773,                 1.3238,                0.12055,                0.88159,                 0.9336,                0.76833,                0.79533,                0.81114,                0.64229,                0.76833,                0.79533,                0.80525,                0.53414,                0.70675,                 1.5595,                0.06511,                 1.1223,                0.93574,             0.00048275,             0.00048275,             0.00048275
                     33,                0.67392,                 1.3333,                0.14647,                0.87285,                 0.9375,                0.77584,                0.75163,                0.81238,                0.64557,                0.77357,                0.73113,                0.77263,                0.48335,                0.70037,                 1.8999,                0.06457,                 1.0702,                0.92046,               0.000458,               0.000458,               0.000458
                     34,                0.65637,                 1.1322,                0.11604,                0.82459,                0.91726,                0.78438,                0.75449,                0.81938,                 0.6496,                0.74997,                0.72631,                0.76234,                0.49508,                0.70185,                  1.886,                0.06508,                 1.0686,                0.91693,             0.00043325,             0.00043325,             0.00043325
                     35,                0.64671,                 1.2167,                0.13815,                0.82505,                0.90531,                0.71803,                0.79048,                0.80925,                0.64687,                0.71803,                0.79048,                0.80925,                0.52943,                0.70395,                 1.4353,                0.06395,                  1.098,                0.93263,              0.0004085,              0.0004085,              0.0004085
                     36,                0.64647,                 1.2931,                0.13899,                0.85223,                0.93424,                0.64683,                0.92171,                0.81139,                0.64461,                0.64683,                0.92171,                0.81139,                0.53941,                 0.7141,                 1.4153,                0.06416,                 1.0743,                0.94509,             0.00038375,             0.00038375,             0.00038375
                     37,                0.61553,                 1.1056,                0.12625,                0.79692,                 0.9288,                0.71255,                0.82109,                 0.8081,                0.63328,                0.71255,                0.82109,                 0.8081,                0.54765,                0.73809,                 1.3901,                0.06004,                 1.1008,                0.96233,               0.000359,               0.000359,               0.000359
                     38,                0.61051,                 1.1866,                0.12819,                0.80898,                0.92043,                0.73226,                0.80123,                0.78885,                0.61467,                0.73226,                0.80123,                0.78885,                0.53675,                0.76114,                 1.3961,                 0.0592,                 1.1283,                0.96507,             0.00033425,             0.00033425,             0.00033425
                     39,                0.59519,                 1.1494,                0.12809,                0.79527,                0.91838,                0.64998,                0.94333,                0.79942,                0.63056,                0.64998,                0.94333,                0.79942,                0.53112,                0.76465,                 1.4209,                 0.0588,                 1.0521,                0.98585,              0.0003095,              0.0003095,              0.0003095
                     40,                0.51427,                0.92859,                0.03563,                0.73398,                0.84476,                0.75297,                0.76455,                 0.8156,                0.64422,                0.75297,                0.76455,                 0.8156,                0.54055,                0.75311,                 1.4307,                0.05947,                 1.0342,                 0.9861,             0.00028475,             0.00028475,             0.00028475
                     41,                0.51033,                0.90139,                0.04156,                0.68881,                 0.8693,                0.66796,                0.83389,                0.81883,                0.64523,                0.65834,                0.81924,                 0.7966,                0.54005,                0.75842,                 1.4708,                0.06304,                 1.1104,                0.97353,                0.00026,                0.00026,                0.00026
                     42,                0.49775,                0.90128,                0.03682,                0.70968,                0.83489,                 0.6497,                0.88009,                0.81081,                0.63493,                 0.6497,                0.88009,                0.81081,                0.53118,                0.76675,                 1.4659,                0.06124,                 1.1519,                0.97384,             0.00023525,             0.00023525,             0.00023525
                     43,                0.46915,                0.81239,                0.03781,                0.67401,                0.83676,                0.77826,                0.75281,                0.83457,                0.65209,                0.77826,                0.75281,                0.83457,                0.54617,                0.75355,                 1.4369,                0.05832,                 1.0131,                0.97196,              0.0002105,              0.0002105,              0.0002105
                     44,                0.48816,                0.78802,                0.03693,                0.64876,                0.85322,                0.79753,                 0.7618,                0.82719,                0.65073,                0.79753,                 0.7618,                0.82719,                0.55024,                0.75458,                 1.4278,                0.05893,                0.98703,                0.96481,             0.00018575,             0.00018575,             0.00018575
                     45,                0.47309,                0.82028,                0.03141,                0.61634,                0.82915,                0.81599,                 0.8073,                0.83082,                0.65278,                0.81599,                 0.8073,                0.83082,                 0.5518,                0.74935,                 1.4441,                0.05647,                0.97433,                0.96302,               0.000161,               0.000161,               0.000161
                     46,                0.46454,                0.78704,                0.03633,                0.61457,                0.82542,                0.73379,                0.84636,                0.83039,                0.64924,                0.73379,                0.84636,                0.83039,                0.54772,                 0.7435,                 1.4322,                 0.0556,                0.97495,                0.96329,             0.00013625,             0.00013625,             0.00013625
                     47,                0.45622,                0.85411,                0.03147,                0.60494,                 0.8299,                 0.7453,                 0.8216,                0.82906,                0.64871,                 0.7453,                 0.8216,                0.82906,                0.55723,                0.74835,                 1.4183,                0.05509,                 0.9906,                0.96155,              0.0001115,              0.0001115,              0.0001115
                     48,                0.45945,                0.77998,                0.03031,                0.61712,                0.83988,                0.73801,                0.84883,                0.83878,                0.65346,                0.73801,                0.84883,                0.83878,                0.56213,                0.75009,                 1.4135,                0.05538,                0.98084,                0.96194,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.45623,                0.78494,                0.02903,                 0.6108,                0.83053,                0.84786,                0.75036,                0.86114,                 0.6763,                0.84786,                0.75036,                0.86114,                0.57924,                0.74408,                 1.4026,                 0.0554,                0.95934,                0.95822,                6.2e-05,                6.2e-05,                6.2e-05
